Dataset	Domain	Score	Sent1	Sent2
STS2012-train	MSRvid	0.000	The boy is playing the piano.	The woman is pouring oil into the pan.
STS2012-train	MSRvid	0.400	A man is talking on the phone.	A man is moon-walking across a store.
STS2012-train	MSRvid	0.400	A man is slicing a carrot by a machine.	A man is climbing a rope.
STS2012-train	MSRvid	3.200	A boy played a keyboard.	A person is playing a piano keyboard.
STS2012-train	MSRvid	0.400	A cat is playing with an antenna.	A boy is playing in the mud.
STS2012-train	MSRvid	2.000	A woman is slicing pumpkin.	A person is slicing cantaloupe.
STS2012-train	MSRvid	0.000	A woman is braiding her hair.	A man is riding a motorcycle.
STS2012-train	MSRvid	0.000	A man is cutting a potato.	A woman is climbing a rock wall.
STS2012-train	MSRvid	0.000	A woman is feeding a baby.	A man is adding water to pan.
STS2012-train	MSRvid	0.500	A man is playing a guitar.	A woman is riding a horse.
STS2012-train	MSRvid	4.500	The people threw the dummy over the cliff edge.	Some people are throwing a dummy off a cliff.
STS2012-train	MSRvid	0.500	A gun is being fired.	A potato is being peeled.
STS2012-train	MSRvid	0.500	A woman is mixing eggs.	The woman is eating.
STS2012-train	MSRvid	0.500	A woman is cutting a plastic sheet.	A woman is playing a guitar on streets.
STS2012-train	MSRvid	4.000	A woman cuts a pineapple.	A woman is slicing a pineapple into pieces.
STS2012-train	MSRvid	3.750	A woman is adding spices on a meat.	A woman adds ingredients to beef.
STS2012-train	MSRvid	4.250	A person is adding oil in the pan.	The cook pouring oil into the pan.
STS2012-train	MSRvid	3.750	A cook seasons some dough.	A man is seasoning some dough in a pan.
STS2012-train	MSRvid	2.750	A boy is running on a beach.	Two boys are playing in the beach.
STS2012-train	MSRvid	3.250	A baby monkey scratches itself.	The monkey scratched his tummy.
STS2012-train	MSRvid	3.000	The man is throwing knives at a tree.	A man is throwing blades into a close target outside.
STS2012-train	MSRvid	0.800	A boy is riding a bike on a gate.	A woman is riding a horse.
STS2012-train	MSRvid	0.400	The woman is slicing tofu.	The woman is putting on lipstick.
STS2012-train	MSRvid	0.400	A man is riding on a boat.	A man is tying in the machine.
STS2012-train	MSRvid	0.400	A woman is folding paper.	A woman is applying eye shadow.
STS2012-train	MSRvid	0.250	Someone is folding a piece of paper.	A person is slicing a small pieces of ginger.
STS2012-train	MSRvid	0.250	A man is doing a card trick.	A man is squeezing water.
STS2012-train	MSRvid	0.750	A man is playing the piano.	Someone is playing guitar.
STS2012-train	MSRvid	0.250	A man is lifting weights.	A man is chopping egg plant.
STS2012-train	MSRvid	4.800	A man is mowing grass.	A guy is mowing the lawn.
STS2012-train	MSRvid	0.800	A person is mixing water and flour.	A person is hitchhiking on a road.
STS2012-train	MSRvid	0.000	The two dogs were in the pen.	The cowboy rode his horse in the desert.
STS2012-train	MSRvid	3.000	A man is riding on one wheel on a motorcycle.	A person is performing tricks on a motorcycle.
STS2012-train	MSRvid	0.750	A man is serving cake.	A man seasoning quail.
STS2012-train	MSRvid	3.750	A cat opens a drawer and climbs inside.	A big cat opens a plastic drawer with his paws and then hops inside.
STS2012-train	MSRvid	2.500	Someone is greating a carrot.	A woman is grating an orange food.
STS2012-train	MSRvid	0.000	A man is opening a box using a knife.	A man is playing a guitar.
STS2012-train	MSRvid	0.250	A man is kicking oots of water.	A woman is slicing a red pepper.
STS2012-train	MSRvid	0.000	A man is eating.	A woman is rock climbing.
STS2012-train	MSRvid	3.500	A puppy is repeatedly rolling from side to side while on its back.	A dog is rolling from side to side.
STS2012-train	MSRvid	3.250	A young boy sings and plays a guitar.	A kid plays the guitar.
STS2012-train	MSRvid	0.400	The woman is peeling lemon.	The man is balancing on the wire.
STS2012-train	MSRvid	0.800	A man is playing the trumpet.	Someone is playing with a toad.
STS2012-train	MSRvid	1.800	A man is standing on a roof top playing a violin.	A man is on a roof dancing.
STS2012-train	MSRvid	1.600	A dog is looking around	A dog is watching a store counter.
STS2012-train	MSRvid	1.200	A woman is slicing an onion.	A man is shown slicing a carrot with a knife.
STS2012-train	MSRvid	4.200	The man drilled holes into the wood.	A man drills wood.
STS2012-train	MSRvid	0.200	Someone is cutting a circle out of a pink sheet of paper.	Someone is pouring tomato sauce into a pot of meat.
STS2012-train	MSRvid	0.200	A man is playing flute.	A man is petting a tied up dog.
STS2012-train	MSRvid	0.500	A man is placing meat in a bag.	A man is drivong a car.
STS2012-train	MSRvid	0.000	A girl is eating a cupcake.	A man is playing a trumpet.
STS2012-train	MSRvid	4.500	A rabbit is sniffing and pawing a stuffed rabbit.	A live rabbit is playing with a stuffed animal bunny.
STS2012-train	MSRvid	0.000	A man is buttering bread.	A woman is ridint a horse.
STS2012-train	MSRvid	2.500	A monkey is karate kicking a person.	A monkey pratices martial arts.
STS2012-train	MSRvid	0.750	A woman is squeezing some cucumber slices.	A woman is getting doused in green slime.
STS2012-train	MSRvid	4.000	A man is taking out the insides of a green pepper.	Someone is removing the seeds from a bell pepper.
STS2012-train	MSRvid	2.750	A man takes a piece of pepperoni pizza out of a pizza box and puts it on the lid after he closes the box.	The man took a piece of pepperoni pizza out of the box.
STS2012-train	MSRvid	3.400	The man added vegetables to the broth in the pot.	A man is adding sliced vegetables to a cooking bowl with water.
STS2012-train	MSRvid	3.400	The man ran and jumped against the wall.	A man jumps into a wall.
STS2012-train	MSRvid	0.400	A man is playing a cello.	A man is rapidly lifting small weights.
STS2012-train	MSRvid	0.400	The man is talking.	A man is walking down stairs.
STS2012-train	MSRvid	3.200	A man tries to feed a mouse to a snake.	A man is teasing a snake with a mouse.
STS2012-train	MSRvid	2.400	The man is seasoning the sausages.	The man added seasoning to water in a bowl.
STS2012-train	MSRvid	3.000	A clown is singing and people are dancing.	A clown is singing.
STS2012-train	MSRvid	0.400	A woman is feeding an aardvark.	A woman is chopping up garlic.
STS2012-train	MSRvid	0.500	A man shappens a knife.	A man carries a women.
STS2012-train	MSRvid	3.929	A person is rinsing a steak off with water.	A man is rinsing a large steak.
STS2012-train	MSRvid	3.000	A boy rode his bike on top of a metal fence.	A BMX biker rides along the top of a fence.
STS2012-train	MSRvid	1.750	A man is throwing knives at a tree.	A man is showing magic.
STS2012-train	MSRvid	0.000	A man is playing the drums.	A woman is slicing some leaves.
STS2012-train	MSRvid	0.400	A woman is brushing her feet.	A woman is chopping an onion.
STS2012-train	MSRvid	2.200	A man is playing a ukulele.	A man is sitting and playing a small guitar.
STS2012-train	MSRvid	2.600	Girls are walking on the stage.	Women models are walking down a catwalk.
STS2012-train	MSRvid	3.500	A woman is doing weight exercises.	A woman is exercising with a barbell.
STS2012-train	MSRvid	0.500	A man is peeling a potato.	A man is hiking.
STS2012-train	MSRvid	0.000	A woman is in the rain.	A car is driving along the road.
STS2012-train	MSRvid	0.000	A woman is hitting a man.	A man is holding a slow loris.
STS2012-train	MSRvid	0.000	A woman is riding an elephant.	A man is lifting himself.
STS2012-train	MSRvid	1.000	A man is lifting weights.	A woman is exercising her abs.
STS2012-train	MSRvid	2.000	A person is riding a jetski in the waves.	A woman is riding a seadoo.
STS2012-train	MSRvid	1.200	A woman is removing skin from some meat.	A woman is slicing a tomato.
STS2012-train	MSRvid	0.600	A woman is wearing headphones.	A woman is chopping some shiso leaves.
STS2012-train	MSRvid	0.800	A kitten is drinking milk from a bowl.	A small child is drinking water from a cup.
STS2012-train	MSRvid	4.000	A kitten is eating its food from a plate.	A kitten eats some food.
STS2012-train	MSRvid	0.500	A woman is reading a lifestyle magazine.	A woman is slicing a meat into pieces.
STS2012-train	MSRvid	2.500	A man is pouring chili into a bowl.	A man opens a can and pours the contents into a bowl.
STS2012-train	MSRvid	2.750	A man is stirring ingredients in a bowl.	A man is beating two eggs in a bowl with a fork.
STS2012-train	MSRvid	3.250	The bird ate the food in the tree from a bowl.	A bird is eating from a bowl.
STS2012-train	MSRvid	2.000	A group of girls are exiting a taxi.	A video clip of Rihanna leaving a taxi.
STS2012-train	MSRvid	0.800	A man breaks cinder blocks on another man.	A woman breaks an egg into a pan.
STS2012-train	MSRvid	0.000	A woman is seasoning a piece of meat.	A man is loading a rifle with bullets.
STS2012-train	MSRvid	0.400	A woman is relaxing in a bath tub.	A woman is stabbing a potato with a fork.
STS2012-train	MSRvid	0.600	A woman is adding oil on fishes.	The woman is cutting potatoes.
STS2012-train	MSRvid	0.800	A woman is writing something.	A woman is chopping green onions.
STS2012-train	MSRvid	0.800	A man is chopping coriander leaf.	A man is playing a guitar.
STS2012-train	MSRvid	0.800	A man takes a slice of pizza.	A man talks on his cell phone.
STS2012-train	MSRvid	0.400	A man is placing meat inside a plastic bag.	A woman is carrying a wallaby in a bag.
STS2012-train	MSRvid	3.000	A baby eats his food.	A baby is being fed peas.
STS2012-train	MSRvid	0.400	A man is slicing a carrot by a machine.	A man is standing in the rain.
STS2012-train	MSRvid	0.000	A rabbi is talking.	A man is walking on a rope.
STS2012-train	MSRvid	0.000	A man is playing guitar.	Smeone is laying down.
STS2012-train	MSRvid	0.400	A man is slicing a bun.	A man is breaking pots.
STS2012-train	MSRvid	0.000	A man is driving a car.	A woman dips a shrimp in batter.
STS2012-train	MSRvid	3.600	A dog is pawing at a fly in the carpet before it.	The dog played with a bug on the carpet.
STS2012-train	MSRvid	0.231	A dog is barking.	A jet is flying.
STS2012-train	MSRvid	3.200	A man is playing a guitar and singing on a stage.	A man is playing the electric guitar.
STS2012-train	MSRvid	0.000	A monkey is walking on a bed.	A man is riding a horse.
STS2012-train	MSRvid	0.500	A woman is cooking broccoli.	A man is eating his food.
STS2012-train	MSRvid	0.300	A man is hitting a boy with flower vase.	A man is cutting a mat.
STS2012-train	MSRvid	1.250	A boy is playing a piano.	A man is singing and playing a guitar.
STS2012-train	MSRvid	0.000	A man is frying a tortilla.	A person is performing a card trick.
STS2012-train	MSRvid	2.750	A woman serving volleyballs over a net.	One woman hands volleyballs to another woman who serves them.
STS2012-train	MSRvid	5.000	The person is starting a fire.	A person makes fire.
STS2012-train	MSRvid	0.750	A man is slicing cucumber with a knife.	A man is cooking a tortilla in a skillet.
STS2012-train	MSRvid	1.250	A man is playing an electronic keyboard.	A band is playing instruments.
STS2012-train	MSRvid	0.000	The man is mixing whipping cream.	The man is holding a skunk.
STS2012-train	MSRvid	0.000	A man is playing a violin.	The baby is laughing and crawling.
STS2012-train	MSRvid	0.750	A man is stirring juice.	A man is peeling an onion.
STS2012-train	MSRvid	3.750	A man severs the toe of an empty leather boot using a sword.	A man is cutting a boot with a sword.
STS2012-train	MSRvid	2.333	Someone is slicing two uncooked racks of ribs apart.	Someone is cutting a piece of meat.
STS2012-train	MSRvid	5.000	The person is removing the scales from the fish.	A person is descaling a fish.
STS2012-train	MSRvid	0.000	People are walking in the garden.	One boy is talking with other man.
STS2012-train	MSRvid	3.200	A young child rides a horse.	The little girl rode a horse.
STS2012-train	MSRvid	0.750	A person is cutting garlic into pieces with a knife.	Someone is putting ingredients into a wok.
STS2012-train	MSRvid	0.500	A man is folding a piece of paper.	A man is slicing a plastic container with a sword.
STS2012-train	MSRvid	2.500	The man was pushed into the water.	A man pushes another man into the ocean.
STS2012-train	MSRvid	1.750	A boy is upset playing video games.	Someone is playing a gameboy.
STS2012-train	MSRvid	4.000	A man makes a call on a cell phone.	A man is making a phone call.
STS2012-train	MSRvid	0.000	A man is speaking on a phone.	A panda bear is chewing on a stick.
STS2012-train	MSRvid	1.333	A man is kicking pots of water.	A man is turning foods.
STS2012-train	MSRvid	4.600	A woman is applying cosmetics to her face.	A woman is putting on makeup.
STS2012-train	MSRvid	4.000	The man lifted barbells.	A man lifts weights.
STS2012-train	MSRvid	1.200	Two little girls talk on the telephone.	Two couple are talking with each other.
STS2012-train	MSRvid	4.200	A cat gets stuck on a moving ceiling fan.	A cat is swinging on a fan.
STS2012-train	MSRvid	3.800	The cat is drinking milk.	A white cat is licking and drinking milk kept on a plate.
STS2012-train	MSRvid	3.000	A woman feeds an animal by hand.	The women are feeding the animal.
STS2012-train	MSRvid	0.200	A woman is riding a horse on the beach.	A woman is washing a bowl.
STS2012-train	MSRvid	3.000	A person is chopping an herb.	A man is finely chopping a green substance.
STS2012-train	MSRvid	2.200	Several ferrets climb out of their cage.	Ferrets climb down from a shelf.
STS2012-train	MSRvid	1.400	A woman is collecting tap water in a mug.	A boy is filling a pitcher with water.
STS2012-train	MSRvid	0.000	A young woman is playing the flute.	A woman is washing off the top of a freezer.
STS2012-train	MSRvid	2.800	A woman shoots a shotgun.	The woman is shooting a rifle.
STS2012-train	MSRvid	3.800	A person is whisking eggs in a bowl.	A woman is beating two eggs in a bowl using a wire whisk.
STS2012-train	MSRvid	3.800	A person is adding chili powder to chili with beans.	The man is adding seasoning to the beans.
STS2012-train	MSRvid	4.400	A woman rapidly fires a handgun.	A woman is shooting off a gun.
STS2012-train	MSRvid	0.000	A person is slicing an onion.	A solenodon is walking along the ground.
STS2012-train	MSRvid	3.000	Rocky and Apollo Creed are running down the beach.	The men are jogging on the beach.
STS2012-train	MSRvid	0.500	A man is singing while playing the guitar.	A man is stuffing himself full with food.
STS2012-train	MSRvid	2.750	The dog could not figure out how to get a stick out the doggy door.	A dog is trying to get through his dog door.
STS2012-train	MSRvid	1.750	A dog is opening a fridge.	A dog closes a refrigerator door.
STS2012-train	MSRvid	0.000	A woman is mixing eggs in the bowl.	A man is doing push ups.
STS2012-train	MSRvid	0.000	A boat sails along the water.	The man is playing the guitar.
STS2012-train	MSRvid	1.000	A woman is holding a dancing baby up.	A woman is abusing her child.
STS2012-train	MSRvid	1.800	A woman is doing a joker make up on a man.	The girl applied face makeup to a man.
STS2012-train	MSRvid	1.600	The lady added cheese to the sauce.	A man pours a plate of shredded cheese into a pot of sauce.
STS2012-train	MSRvid	2.333	A man is giving a lecture on a podium.	A man is delivering a lecture at an event celebrating the game of cricket.
STS2012-train	MSRvid	2.000	The cat shimmied under the bed.	A cat is crawling upside down under the couch.
STS2012-train	MSRvid	0.333	An okapi is eating from a tree.	A moose drinks from a sprinkler.
STS2012-train	MSRvid	1.000	A woman is chopping garlic.	A woman slices a fish.
STS2012-train	MSRvid	0.000	A man is cutting grass.	A masked man sings.
STS2012-train	MSRvid	0.000	A man is cutting grass.	A clown is singing.
STS2012-train	MSRvid	3.000	A boy runs away from his fishing line.	A boy is running in front of fish hanging on fishing rod.
STS2012-train	MSRvid	1.500	Several kids jump up and down on a trampoline.	A man is doing back flips on a trampoline.
STS2012-train	MSRvid	0.400	The man played haki sak in the office.	The man is seasoning the vegetables.
STS2012-train	MSRvid	0.400	A man is carrying another man on his back.	A man is taking pictures of ant.
STS2012-train	MSRvid	2.800	The lady made some slices on the shrimp.	A chef is slicing a shrimp.
STS2012-train	MSRvid	0.167	A woman is pouring egg into a frying pan.	A man is petting two dogs.
STS2012-train	MSRvid	0.500	A woman is frying ground meat.	A man is cutting a trunk with an axe.
STS2012-train	MSRvid	3.250	Meat is dropped into a pan.	A woman is putting meat in a pan.
STS2012-train	MSRvid	0.000	A woman is cutting scallions.	A woman falls on a sand castle.
STS2012-train	MSRvid	0.000	A man is slam dunking a ball.	A woman is slicing some onions.
STS2012-train	MSRvid	0.000	A machine is sharpening a pencil.	A girl is riding a bicycle.
STS2012-train	MSRvid	0.000	A woman is brushing her feet.	The sun is rising behind trees.
STS2012-train	MSRvid	0.400	A man is cleaning the windows.	A man is driving a car.
STS2012-train	MSRvid	0.000	Someone is mixing a liquid.	A man is playing a guitar.
STS2012-train	MSRvid	1.000	A person is stirring rice.	A woman is cracking an egg.
STS2012-train	MSRvid	1.250	Three boys in karate costumes are fighting.	Three men are practicing karate moves in a field.
STS2012-train	MSRvid	0.250	A man puts a knife in a vice.	A man is dancing.
STS2012-train	MSRvid	4.250	A boy plays violin on stage.	A boy is onstage playing the violin.
STS2012-train	MSRvid	0.118	A woman cuts a pink loaf with a knife.	A man is playing a guitar.
STS2012-train	MSRvid	1.000	A man is adding pork chops to a pan.	A woman is peeling a potato.
STS2012-train	MSRvid	0.400	The men are fighting each other.	The man drew on the white paper.
STS2012-train	MSRvid	0.000	A man is catching a ball.	A cat is rubbing against a baby.
STS2012-train	MSRvid	0.000	A girl is reading a newspaper.	A chef is peeling a potato.
STS2012-train	MSRvid	2.500	A slow loris bites a persons fingers.	A small animal is chewing on a finger.
STS2012-train	MSRvid	0.750	A man is walking along a path through wilderness.	A man is peeling an onion.
STS2012-train	MSRvid	3.000	The man played his guitar.	A guy is singing while playing his guitar.
STS2012-train	MSRvid	1.600	Swimmers are racing in a lake.	Women swimmers are diving in from the starting platform.
STS2012-train	MSRvid	2.600	Some men are skating on the road.	Two boys are skate boarding.
STS2012-train	MSRvid	2.600	A man pours liquid into a pan.	The chef poured oil in the pan.
STS2012-train	MSRvid	0.000	A boy is playing piano and singing.	A pig is agitating a lion.
STS2012-train	MSRvid	0.000	A woman is slicing big pepper.	A man is playing an instrument.
STS2012-train	MSRvid	0.000	A person is boiling noodles.	A cat is licking a bottle.
STS2012-train	MSRvid	4.250	A cat and a ferret are playing.	A ferret and kitten play together.
STS2012-train	MSRvid	0.000	A monkey is walking through the water.	A guy is playing a trumpet.
STS2012-train	MSRvid	0.000	A woman is putting on makeup.	A band is singing.
STS2012-train	MSRvid	1.000	A person is slicing some onions.	A woman is chopping herbs.
STS2012-train	MSRvid	0.000	A dog is driving a car.	A guy is talking into a microphone.
STS2012-train	MSRvid	3.500	The man sang on stage into the microphone.	A man in a suit is standing at a microphone and singing.
STS2012-train	MSRvid	2.400	A car backs out of a space.	A car is taking reverse.
STS2012-train	MSRvid	2.600	The animal with the big eyes is eating.	A slow loris is eating.
STS2012-train	MSRvid	0.600	A man is holding a frog.	A man is emptying a plastic container.
STS2012-train	MSRvid	0.100	A baby is crawling happily.	A cat is walking on hardwood floor.
STS2012-train	MSRvid	0.000	A man is traveling in a boat.	A woman is cutting up a carrot with a knife.
STS2012-train	MSRvid	3.750	The man rode his motorcycle down the highway.	A person is driving a motorcycle on a road.
STS2012-train	MSRvid	0.000	A tiger club is playing with a ball.	A person is chopping shrimp with a knife.
STS2012-train	MSRvid	0.000	A man reels in a fish.	A woman is pouring oil in a bowl.
STS2012-train	MSRvid	0.400	A man is dicing an onion.	The man is playing the guitar.
STS2012-train	MSRvid	0.400	A man performs on a stage.	A man guts a fish.
STS2012-train	MSRvid	2.600	The women are sitiing down.	Two women are sitting close to each other and talking.
STS2012-train	MSRvid	2.000	A woman is slicing fruit.	Two women are slicing some lemons.
STS2012-train	MSRvid	1.750	A man removes a couple of toaster scrambles from a plastic packet.	A man removes food from a bag.
STS2012-train	MSRvid	3.750	The flag was moving in the air.	A flag is waving.
STS2012-train	MSRvid	0.000	A woman is dancing by a fire.	A man ties a noose.
STS2012-train	MSRvid	0.750	A man is meditating.	The man is riding the horse.
STS2012-train	MSRvid	0.000	A woman is cutting an onion.	A horse is standing.
STS2012-train	MSRvid	0.000	A boy is cutting paper.	A man is loading a rifle.
STS2012-train	MSRvid	4.000	A lady mixed up a meat mixture in bowl.	A woman is stirring meat in a bowl.
STS2012-train	MSRvid	0.000	The man talked on the telephone.	Girls are walking on the stage.
STS2012-train	MSRvid	0.800	A man is playing the guitar and singing.	A man is opening a package containing headphones.
STS2012-train	MSRvid	3.400	the soccer player kicked the ball side to side between his legs.	A person is kicking a soccer ball back and forth between his feet.
STS2012-train	MSRvid	3.100	The baby laughed in his car seat.	A baby is laughing.
STS2012-train	MSRvid	0.000	An animal is walking.	A woman is applying eye makeup.
STS2012-train	MSRvid	2.750	A girl is applying makeup on her face.	A woman is putting on makeup.
STS2012-train	MSRvid	2.000	Someone is scratching an animals belly.	A woman is stroking a lemur.
STS2012-train	MSRvid	2.692	A dog knocks a boy into the water twice.	A dog pushes a toddler into a rain puddle.
STS2012-train	MSRvid	3.333	A woman puts make-up on.	A woman is putting on eyeshadow.
STS2012-train	MSRvid	3.000	A boy is playing with a toy.	A boy plays a handheld game.
STS2012-train	MSRvid	0.667	A man dives off of a cliff.	A man is riding a motorcycle.
STS2012-train	MSRvid	3.500	A cat plays in his water.	The cat fished a straw out ouf his water dish.
STS2012-train	MSRvid	4.429	The bird is taking a bath under the faucet.	A bird is bathing in a sink.
STS2012-train	MSRvid	5.000	A man plays the guitar and sings.	A man is singing and playing a guitar.
STS2012-train	MSRvid	3.200	A man is coming out into the water.	A man rises from a swamp.
STS2012-train	MSRvid	0.333	A man and woman dance.	A man is petting a dog.
STS2012-train	MSRvid	3.333	A man is sweeping the floor of a house using a long broom.	The man swept the empty living room.
STS2012-train	MSRvid	3.333	A group of couples are dancing.	Men and women are dancing slowly.
STS2012-train	MSRvid	1.000	A man is scaling a fish.	A man pours some cooking oil into a pot.
STS2012-train	MSRvid	0.188	A person is adding food in a pan.	A man is dancing in the street.
STS2012-train	MSRvid	2.200	The man set up his camera to take sunset pictures at the beach.	A man is taking pictures of a lake.
STS2012-train	MSRvid	0.000	A man is smoking.	A baby is sucking on a pacifier.
STS2012-train	MSRvid	0.000	Women are holding each other and dancing together.	Two men are playing table tennis.
STS2012-train	MSRvid	0.400	Someone is holding and petting a baby tiger.	Someone is rinsing a large beef steak at the kitchen sink.
STS2012-train	MSRvid	0.000	The man is playing the guitar.	The cat cleaned his face with his paw.
STS2012-train	MSRvid	0.250	The man did pushups on a wall.	The man tased the food.
STS2012-train	MSRvid	2.250	A woman cuts up a vegetable.	A woman is slicing egg plant.
STS2012-train	MSRvid	0.250	A person is putting shredded cheese in a pot.	A hamster is eating some seeds.
STS2012-train	MSRvid	0.800	The man is trying to feed the snake with a mouse.	A man is working on his laptop.
STS2012-train	MSRvid	2.600	A person breaks an egg into a small bowl.	A man cracks an egg.
STS2012-train	MSRvid	1.200	A man is playing keyboards.	A man is riding a mechanical bull.
STS2012-train	MSRvid	3.200	A dog is running around a yard.	A black pet dog runs around in the garden of a house.
STS2012-train	MSRvid	1.400	A child is walking down the street as a jeep pulls up.	A woman is walking along a road and a man in a motorcar pulls up beside her.
STS2012-train	MSRvid	0.364	A man is erasing a chalk board.	A woman is dancing, and singing.
STS2012-train	MSRvid	0.200	A man is adding oil to a pot.	A dog is catching a fish in a river.
STS2012-train	MSRvid	2.750	The girl danced in front of the bonfire.	A woman is dancing to music standing near a bonfire.
STS2012-train	MSRvid	3.200	The man is exercising.	A man is doing pull-ups.
STS2012-train	MSRvid	0.600	A man is chopping butter into a container.	A woman is cutting shrimps.
STS2012-train	MSRvid	3.800	A girl is dragged downhill by a dog.	A dog is pulling a child down a hill.
STS2012-train	MSRvid	3.400	The man took off his sunglasses while talking.	A man wearing a hard hat removes his glasses as he speaks.
STS2012-train	MSRvid	1.500	The two men did a funny skit with a boxer in front of a crowd of people.	Boys are dancing in front of people.
STS2012-train	MSRvid	2.500	The girl is tiding up her bed.	A woman is making a bed.
STS2012-train	MSRvid	0.000	Someoen is cooking onions.	A man is swinging nunchucks.
STS2012-train	MSRvid	5.000	The man is using a sledghammer to break the concrete block that is on the other man.	A man breaks a slab of concrete that is lying on a prone man with a sledge hammer.
STS2012-train	MSRvid	4.333	The lady put the dried noodles in the hot water to cook.	A woman places a container of noodles in a pan of water.
STS2012-train	MSRvid	1.333	A tiger is playing with his trainer.	A tiger attacks a man.
STS2012-train	MSRvid	0.333	The girls danced on the stage.	A girl is putting on makeup.
STS2012-train	MSRvid	3.333	A panda bear is laying down.	A baby panda relaxes on some logs.
STS2012-train	MSRvid	4.200	Two kids are playing in a swimming pool with a green colored crocodile float.	Two kids push an inflatable crocodile around in a pool.
STS2012-train	MSRvid	0.800	A couple of policewomen are singing karaoke.	Two women are dancing.
STS2012-train	MSRvid	1.000	A man is putting broccoli into water.	A person is peeling a potato.
STS2012-train	MSRvid	0.000	A chimp is kicking a target.	A woman is putting oil into a skillet.
STS2012-train	MSRvid	2.800	The doctor was helping the patient.	Doctors are trying to revive a man.
STS2012-train	MSRvid	1.500	Some is grating onion into water.	A person grates a potato into a bowl.
STS2012-train	MSRvid	0.000	A cat is playing with a watermelon on a floor.	A man is pouring oil into a pan.
STS2012-train	MSRvid	0.000	A man is doing exercise.	A baby is laughing.
STS2012-train	MSRvid	0.600	A cat retrieves an object out of a dish of water.	The cat tried to eat the corn on the cob.
STS2012-train	MSRvid	1.200	A baby is talking.	A boy is trying to say firetruck.
STS2012-train	MSRvid	0.000	The girl is carrying a baby.	A man is eating a food.
STS2012-train	MSRvid	0.000	A chef is slicing carrot.	A person is drawing a picture.
STS2012-train	MSRvid	3.000	A woman boils eggs.	A woman places two eggs into a pot of water.
STS2012-train	MSRvid	0.000	A woman puts ingredients in a whisked egg.	A man pours gasoline.
STS2012-train	MSRvid	0.600	A woman is slicing mango.	A man is putting cheese on a tortilla.
STS2012-train	MSRvid	1.000	A girl is slicing a butter into two pieces.	A woman is slicing tofu.
STS2012-train	MSRvid	1.750	Several swimmers jump into the water.	Swimmers are racing in a lake.
STS2012-train	MSRvid	0.000	A man is playing the guitar.	A person is slicing a meat into pieces.
STS2012-train	MSRvid	0.000	A man spins on a surf board.	A man is putting barbecue sauce on chicken.
STS2012-train	MSRvid	0.000	A man is opening a package containing headphones.	A woman is riding a horse.
STS2012-train	MSRvid	1.000	A girl is playing a guitar.	A boy is playing a key-board between the people.
STS2012-train	MSRvid	0.000	A little girl plays the violin on a beach.	The girl sat on the couch to crochet.
STS2012-train	MSRvid	0.000	A woman is adding some mushrooms and liquid to a pot.	A young man is playing the guitar.
STS2012-train	MSRvid	0.000	A man is passionately playing a guitar in front of an audience.	A woman is peeling a potato.
STS2012-train	MSRvid	0.000	A female applies something to he hair with her hands.	A cat is eating a slice of watermelon.
STS2012-train	MSRvid	2.750	A young man is riding a skateboard and jumps onto a sidewalk then off at another curb.	A man is riding a skateboard.
STS2012-train	MSRvid	2.500	A man is karate kicking at another man wearing protective boxing gloves.	A man is kick boxing with a trainer.
STS2012-train	MSRvid	2.200	The girl is slicing an onion.	A woman is chopping an onion into small pieces.
STS2012-train	MSRvid	1.800	A person dices up an orange pepper.	The cook is slicing bell peppers.
STS2012-train	MSRvid	0.000	The man is playing the wooden flute.	A little boy is vacuuming the floor.
STS2012-train	MSRvid	0.750	A young woman is playing a guitar.	A woman cuts up some meat.
STS2012-train	MSRvid	0.000	The man is aiming a gun.	A boy is playing on a toy phone.
STS2012-train	MSRvid	0.000	The men are playing soccer.	A man is riding a motorcycle.
STS2012-train	MSRvid	0.000	Two men are dancing together.	A woman opens a closet.
STS2012-train	MSRvid	0.000	A woman is running on the beach.	A dog is swimming in a pool.
STS2012-train	MSRvid	0.000	A man is reading an email.	A person opening a banana.
STS2012-train	MSRvid	0.000	A man is straining pasta.	A man plays a wooden flute.
STS2012-train	SMTeuroparl	4.200	In Nigeria, Chevron has been accused by the All-Ijaw indigenous people of instigating violence against them and actually paying Nigerian soldiers to shoot protesters at the Warri naval base.	In Nigeria, the whole ijaw indigenous showed Chevron to encourage the violence against them and of up to pay Nigerian soldiers to shoot the demonstrators at the naval base from Warri.
STS2012-train	SMTeuroparl	4.250	I know that in France they have had whole herd slaughter and this does not seem to be the best way forward.	I know that in France, the principle of slaughter of whole herd has been implemented and that this is not the best way to combat this phenomenon.
STS2012-train	SMTeuroparl	4.800	Unfortunately, the ultimate objective of a European Constitution would be precisely the opposite, and so, of course, we cannot vote for it.	Unfortunately the final objective of a European Constitution would be exactly the opposite and obviously we cannot approve it.
STS2012-train	SMTeuroparl	4.800	The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.	The right for a government to draw aside its constitution arbitrarily is the definition characteristic of a tyranny.
STS2012-train	SMTeuroparl	4.000	The House had also fought, however, for the reduction of the funds available for innovative measures to be offset by means of resources from the flexibility instrument, a demand which is recorded in a declaration on the financial perspective in the Interinstitutional Agreement.	This Parliament has also fought for this reduction in the funds available for innovative actions should be compensated for by the use of the framework of flexibility, defined in a statement on the financial perspective.
